source_ip,total_packet_count,unique_dest_ports,protocol_diversity,avg_packet_length,max_packet_length,syn_ratio,ack_ratio,fin_ratio,rst_ratio,psh_ratio,avg_conn_rate,max_conn_rate,session_duration,packets_per_second,proto_tcp_pct,proto_vnc_pct,proto_tlsv12_pct,proto_sshv2_pct,proto_dns_pct,proto_tds_pct,proto_telnet_pct,proto_http_pct,dominant_protocol,dominant_dest_port
192.42.116.13,11,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,6.0,11.0,2.402704000000085,4.5781752558782145,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
192.241.232.14,8,1,1,68.0,74.0,0.25,0.75,0.25,0.0,0.0,2.5,4.0,151.20154000000002,0.052909514016854585,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,1433.0
107.189.5.217,11,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,6.0,11.0,2.5785790000009,4.265915451881117,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
162.191.140.150,9,1,1,67.77777777777777,74.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,5.0,9.0,30.9102780000012,0.2911652881284229,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
218.144.60.113,4,1,1,68.0,74.0,0.25,0.75,0.0,0.25,0.0,2.5,4.0,5.00069899999653,0.7998881756336016,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
160.44.201.156,22645,1510,2,438.3230735261647,1514.0,0.07056745418414662,0.7177301832634135,0.07092073305365423,0.0,0.07056745418414662,27.87825126959594,104.0,86279.842037,0.2624599149160355,71.77301832634136,0.0,28.226981673658646,0.0,0.0,0.0,0.0,0.0,TCP,34110.0
91.83.53.231,13,1,2,81.46153846153847,251.0,0.15384615384615385,0.7692307692307693,0.15384615384615385,0.0,0.0,7.0,13.0,5.001090000005206,2.599433323532763,92.3076923076923,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,TCP,81.0
146.19.215.16,11,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,6.0,11.0,6.387383000008413,1.7221450475077997,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
14.188.190.36,9,1,1,67.77777777777777,74.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,5.0,9.0,32.55193700000382,0.27648124288268755,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
118.37.84.210,8,1,1,68.0,74.0,0.25,0.75,0.25,0.0,0.0,3.0,6.0,137.9250350000002,0.058002522892236265,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,10001.0
87.236.176.110,6,1,2,123.16666666666667,401.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,3.5,6.0,0.21687999999994645,27.66506824050849,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,TCP,8443.0
172.81.62.237,18,1,2,69.33333333333333,78.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,3.5,6.0,75159.77494900001,0.0002394898070439138,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
114.35.34.12,9,1,1,67.77777777777777,74.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,5.0,9.0,41.81374000000142,0.21524025356257764,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
223.84.31.107,18,1,2,219.16666666666666,1514.0,0.05555555555555555,0.5555555555555556,0.05555555555555555,0.0,0.0,9.5,18.0,12.818777000007685,1.4041901189161188,61.111111111111114,0.0,0.0,38.88888888888889,0.0,0.0,0.0,0.0,TCP,22.0
151.245.234.189,37,1,2,75.1891891891892,139.0,0.05405405405405406,0.5135135135135135,0.02702702702702703,0.02702702702702703,0.0,19.0,37.0,5.00082200000179,7.398783639966941,56.75675675675676,0.0,0.0,0.0,0.0,0.0,43.24324324324324,0.0,TCP,23.0
89.232.34.155,19,1,2,211.10526315789474,1478.0,0.05263157894736842,0.5789473684210527,0.05263157894736842,0.0,0.05263157894736842,10.0,19.0,8.378713000005519,2.2676513684127246,63.1578947368421,0.0,0.0,36.84210526315789,0.0,0.0,0.0,0.0,TCP,22.0
103.117.213.164,9,1,1,67.77777777777777,74.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,5.0,9.0,32.16310499999997,0.27982372970520125,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
184.105.139.103,1,0,1,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP,
36.133.197.188,180,1,2,69.33333333333333,78.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,3.5,6.0,82917.233916,0.002170839420214506,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
175.149.93.79,4,1,1,68.0,74.0,0.25,0.75,0.0,0.25,0.0,2.5,4.0,5.00064000000566,0.7998976131046172,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
64.62.197.121,8,1,2,69.0,74.0,0.125,0.625,0.125,0.0,0.0,4.5,8.0,8.411074999999983,0.9511269368065338,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5432.0
185.100.87.174,51,1,2,69.31372549019608,82.0,0.09803921568627451,0.6274509803921569,0.09803921568627451,0.0,0.0,5.627450980392157,11.0,63654.473642,0.0008012005611236345,72.54901960784314,27.450980392156865,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
63.41.97.9,9,1,1,67.77777777777777,74.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,5.0,9.0,33.471356999998534,0.26888661848996426,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
118.249.80.63,9,1,1,67.77777777777777,74.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,5.0,9.0,32.09518200000457,0.280415920370812,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
185.220.101.32,43,1,2,69.44186046511628,82.0,0.09302325581395349,0.627906976744186,0.09302325581395349,0.0,0.0,5.883720930232558,11.0,70526.49502,0.0006096999430895581,72.09302325581395,27.906976744186046,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
83.252.61.56,9,1,1,67.77777777777777,74.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,5.0,9.0,31.264413000004424,0.28786723102713385,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
121.5.22.7,198,1,2,69.33333333333333,78.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,3.5,6.0,86022.133435,0.0023017331946273184,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
89.248.163.200,14,4,1,67.85714285714286,74.0,0.2857142857142857,0.6428571428571429,0.21428571428571427,0.07142857142857142,0.0,2.357142857142857,4.0,66124.12759599999,0.00021172302015893656,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5432.0
